slug,target_url
chapter1,https://www.youtube.com/embed/I-J11Da5ONY?si=hUCbxUNehn-7me5B
image1,https://64.media.tumblr.com/e84647eff2435090c41e43f6b1b2043b/b2873c23f5c9be68-6e/s2048x3072/b9d02d507c8ca643169820c626a3a896d85c7809.pnj
